"Year","Flow","Port","Region","Volume (10^3 m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"1990","Exports","Kingsgate","West","14518033.000000","512500529.514428209139749","1273412009.95","1091041330.40","2.32","2.10"
"1990","Exports","Monchy","MidWest","9529176.500000","336389096.380098164914687","573213473.63","491611917.77","1.60","1.45"
"1990","Exports","Niagara Falls","East","2550539.900000","90036511.784873114222549","290225245.63","248761919.99","3.04","2.75"
"1990","Exports","Ojibway (Windsor)","MidWest","0.600000","21.180577128365592","0.00","0.00","0.00","0.00"
"1990","Exports","Philipsburg","East","187676.900000","6625175.092770927822232","22320073.07","19100267.15","3.18","2.87"
"1990","Exports","Reagan Field","MidWest","4445.200000","156919.835751684561896","306642.00","262929.82","1.49","1.35"
"1990","Exports","Sprague","MidWest","10722.600000","378518.093861021525107","1296499.00","1109270.89","3.23","2.92"
"1990","Exports","St Clair","MidWest","17518.300000","618412.840513078300356","1550237.00","1333790.03","2.36","2.14"
"1990","Exports","Total","Total","40689315.100000","1436371961.293201317148623","3279293639.20","2810810293.35","2.14","1.93"
"1990","Imports","Coutts","MidWest","2135.300000","75378.143903665087056","149622.30","128336.17","1.90","1.72"
"1990","Imports","Emerson","MidWest","23821.500000","840921.863438934984099","3503434.00","3018765.00","3.93","3.57"
"1990","Imports","Niagara Falls","East","25743.400000","908766.782077278041671","9896244.00","8289782.88","10.32","9.12"
"1990","Imports","Ojibway (Windsor)","MidWest","293152.500000","10348565.227705324514660","29807679.68","25381955.12","2.66","2.39"
"1990","Imports","Sarnia","MidWest","60118.700000","2122247.937011787697191","9299555.00","7914588.29","4.11","3.69"
"1990","Imports","St Clair","MidWest","196702.500000","6943787.454320555326479","32789929.00","27933369.45","4.28","3.85"
"1990","Imports","Total","Total","601673.900000","21239667.408457545651156","85446463.98","72666796.91","3.71","3.33"
"1991","Exports","Aden","MidWest","251406.600000","8874894.803133595784213","17246628.00","15054813.90","1.85","1.70"
"1991","Exports","Cardston","MidWest","142968.100000","5046911.448243141729108","7335720.24","6409331.25","1.34","1.24"
"1991","Exports","Cornwall","East","248014.700000","8755157.470530757022053","32459917.00","28333170.26","3.49","3.22"
"1991","Exports","Emerson","MidWest","9763335.600000","344655137.843195951402972","751895107.22","656342796.51","2.06","1.89"
"1991","Exports","Fort Frances","East","195405.700000","6898009.166953781156618","19185023.00","16742349.33","2.62","2.41"
"1991","Exports","Highwater","East","246382.600000","8697542.770645414546247","26547589.76","23171916.96","2.88","2.65"
"1991","Exports","Huntingdon","West","6105559.200000","215532112.579003552688515","388780815.92","339355390.11","1.65","1.52"
"1991","Exports","Iroquois","East","101133.300000","3570102.768160226829855","10260430.20","8955247.63","2.70","2.48"
"1991","Exports","Kingsgate","West","14081505.300000","497090681.816898146840579","1148134105.41","1001594502.65","2.16","1.99"
"1991","Exports","Monchy","MidWest","10571534.400000","373185332.873950149393564","603110134.11","526724022.87","1.51","1.39"
"1991","Exports","Niagara Falls","East","5065245.800000","178808048.901716473970358","505770038.71","441750778.94","2.66","2.45"
"1991","Exports","Ojibway (Windsor)","MidWest","73041.100000","2578421.086817773610689","4254069.57","3737253.35","1.55","1.44"
"1991","Exports","Philipsburg","East","202404.300000","7145066.478771413563471","23527962.00","20519914.83","3.10","2.86"
"1991","Exports","Reagan Field","MidWest","4459.500000","157424.639506577275211","304953.00","266142.90","1.45","1.34"
"1991","Exports","Sarnia","MidWest","43464.800000","1534349.247948308095498","3191924.00","2785893.89","1.95","1.80"
"1991","Exports","Sprague","MidWest","9001.800000","317772.198656869002361","1094133.00","952687.01","3.25","2.98"
"1991","Exports","St Clair","MidWest","741055.500000","26159971.956915882043935","46907806.94","41174419.38","1.69","1.56"
"1991","Exports","Total","Total","47845918.300000","1689006938.051048014955247","3590006358.08","3133870631.79","1.99","1.83"
"1991","Imports","Cornwall","East","317.300000","11200.995204717338138","378203.00","330093.52","31.68","29.17"
"1991","Imports","Coutts","MidWest","1152.200000","40673.768278838061772","80942.51","70406.04","1.90","1.74"
"1991","Imports","Emerson","MidWest","41851.000000","1477380.555665380770293","7750840.87","6728049.39","4.95","4.53"
"1991","Imports","Niagara Falls","East","29046.600000","1025372.919361306756885","9765486.00","8455858.82","9.00","8.22"
"1991","Imports","Ojibway (Windsor)","MidWest","62954.900000","2222368.525097571858634","5558128.00","4860128.50","2.33","2.15"
"1991","Imports","Sarnia","MidWest","3209.000000","113280.786674875317002","161210.00","140763.20","1.34","1.23"
"1991","Imports","St Clair","MidWest","408916.900000","14435159.899236934407976","34736241.00","30322699.91","2.24","2.06"
"1991","Imports","Total","Total","547447.900000","19325437.449519624510700","58431051.38","50907999.37","2.82","2.59"
"1992","Exports","Aden","MidWest","178319.200000","6294839.281780749961871","10879299.00","9011958.19","1.63","1.43"
"1992","Exports","Cardston","MidWest","358935.900000","12670782.523482199842901","16007467.85","13182080.32","1.17","1.02"
"1992","Exports","Cornwall","East","350774.200000","12382666.662901230732686","46902553.92","38735260.15","3.55","3.09"
"1992","Exports","Emerson","MidWest","10326465.200000","364534154.386638727131726","875307538.11","721316336.60","2.25","1.95"
"1992","Exports","Fort Frances","East","104418.600000","3686077.018226592638194","10376369.00","8761683.80","2.64","2.36"
"1992","Exports","Highwater","East","274993.000000","9707517.410434399516505","32889294.24","27153383.59","3.17","2.76"
"1992","Exports","Huntingdon","West","7039360.700000","248496203.734559359273136","459353083.26","378829829.88","1.69","1.47"
"1992","Exports","Iroquois","East","4596651.300000","162266212.319753288637518","491714574.81","402799663.75","2.84","2.46"
"1992","Exports","Kingsgate","West","13874529.410000","489784233.813802958502886","1102966102.99","911528743.04","2.10","1.83"
"1992","Exports","Monchy","MidWest","12487510.300000","440821125.084016289275709","828816018.83","681921803.45","1.74","1.51"
"1992","Exports","Niagara Falls","East","7180814.140000","253489646.227880417285413","759823733.02","627175332.51","2.81","2.44"
"1992","Exports","Ojibway (Windsor)","MidWest","70237.000000","2479433.659608357008507","5190300.00","4221165.14","1.97","1.69"
"1992","Exports","Philipsburg","East","215273.200000","7599351.027116786878201","26858381.00","22235925.43","3.31","2.89"
"1992","Exports","Reagan Field","MidWest","3836.400000","135428.610158769606148","262036.00","217084.47","1.46","1.27"
"1992","Exports","Sarnia","MidWest","123201.300000","4349124.394941513366351","7033594.00","5888622.58","1.52","1.34"
"1992","Exports","Sprague","MidWest","98236.300000","3467835.881592101621575","10870400.89","8792432.59","2.93","2.50"
"1992","Exports","St Clair","MidWest","743604.600000","26249957.638845743268802","52029132.91","42905447.44","1.87","1.62"
"1992","Exports","Total","Total","58027160.750000","2048414589.675739484548129","4737279879.83","3904676752.96","2.15","1.87"
"1992","Imports","Cardston","MidWest","1369.900000","48358.787680246711361","128125.89","100670.24","2.48","2.06"
"1992","Imports","Coutts","MidWest","404.500000","14279.239080706471085","28586.99","24198.19","1.91","1.70"
"1992","Imports","Emerson","MidWest","53005.300000","1871138.074770261340077","10707465.95","8830985.93","5.37","4.67"
"1992","Imports","Huntingdon","West","1211.200000","42756.525029794011827","161000.00","126499.87","3.44","2.85"
"1992","Imports","Iroquois","East","63493.300000","2241374.562974091918053","6879820.04","5503845.57","2.86","2.42"
"1992","Imports","Niagara Falls","East","663802.000000","23432849.098272229721709","58633262.40","48508113.90","2.35","2.05"
"1992","Imports","Ojibway (Windsor)","MidWest","638125.200000","22526433.360256200260923","56950710.62","46854520.51","2.38","2.07"
"1992","Imports","Rainy River","East","19131.500000","675360.352218877259967","2111800.00","1659269.74","2.92","2.42"
"1992","Imports","Sarnia","MidWest","537807.400000","18985118.526509610333854","31723944.50","26442165.69","1.57","1.38"
"1992","Imports","St Clair","MidWest","465392.600000","16428806.432117662342050","36884892.67","30281838.90","2.10","1.82"
"1992","Imports","Total","Total","2460722.500000","86865871.171257674429047","206077970.83","169800105.58","2.23","1.94"
"1992","Imports","Windsor (Ojibway)","East","16979.600000","599396.212347994058141","1868361.77","1467997.04","2.93","2.43"
"1993","Exports","Aden","MidWest","189688.200000","6696175.917401397353269","9659427.00","7498348.10","1.38","1.13"
"1993","Exports","Cardston","MidWest","370485.300000","13078487.452626109156147","24875971.77","19270901.92","1.77","1.45"
"1993","Exports","Chippawa","East","43941.200000","1551166.626188230376898","6740290.98","5079046.34","4.09","3.25"
"1993","Exports","Cornwall","East","458975.310000","16202269.922450846940453","54637530.60","42319098.42","3.15","2.57"
"1993","Exports","Emerson","MidWest","10953337.300000","386663342.492756242621798","1074169742.97","832225598.55","2.59","2.12"
"1993","Exports","Highwater","East","268809.630000","9489238.501770696247916","33270642.35","25804204.36","3.27","2.68"
"1993","Exports","Huntingdon","West","7357915.960000","259741510.824686951069780","589790699.13","456527411.27","2.07","1.69"
"1993","Exports","Iroquois","East","6741895.100000","237995381.928166778688227","762133944.03","591002331.07","2.99","2.44"
"1993","Exports","Kingsgate","West","14640795.060000","516834148.314873283667052","1353971217.79","1047730164.42","2.43","1.98"
"1993","Exports","Monchy","MidWest","13694961.930000","483445329.047325881535403","1038240255.92","803698557.70","1.99","1.63"
"1993","Exports","Napierville","East","803.700000","28371.383063445712766","238216.52","179690.67","7.86","6.25"
"1993","Exports","Niagara Falls","East","7064157.200000","249371544.035831888347057","844019691.65","653993414.07","3.16","2.58"
"1993","Exports","Ojibway (Windsor)","MidWest","195947.800000","6917145.818389259470534","15776817.89","12204678.91","2.12","1.73"
"1993","Exports","Philipsburg","East","206102.900000","7275630.616383035204935","27679960.00","21492494.21","3.55","2.91"
"1993","Exports","Reagan Field","MidWest","3768.200000","133021.084558512050330","226539.00","175772.09","1.29","1.05"
"1993","Exports","Sarnia","MidWest","50247.358000","1773780.069359329903016","3784997.48","2869416.85","1.99","1.59"
"1993","Exports","Sprague","MidWest","193528.700000","6831749.261503877457640","25037725.36","19405111.43","3.42","2.80"
"1993","Exports","St Clair","MidWest","473150.900000","16702681.884675993651459","45956309.72","35818644.45","2.57","2.11"
"1993","Exports","Total","Total","62923211.248000","2221249881.671175776195807","5911920911.86","4578626442.64","2.47","2.02"
"1993","Exports","Windsor (Ojibway)","East","14699.500000","518906.489164016741127","1710931.70","1331557.79","3.09","2.54"
"1993","Imports","Cardston","MidWest","8950.000000","315943.608831453439439","873425.88","694695.81","2.58","2.17"
"1993","Imports","Emerson","MidWest","65156.780000","2300097.007043247914414","11362057.12","8936758.87","4.62","3.83"
"1993","Imports","Huntingdon","West","39096.000000","1380126.405684302085857","4604877.74","3477842.41","3.04","2.43"
"1993","Imports","Iroquois","East","121812.900000","4300112.539466475382514","12505765.69","9826874.20","2.71","2.24"
"1993","Imports","Kingsgate","West","59.800000","2110.997520460437506","7168.00","5610.74","3.15","2.60"
"1993","Imports","Loomis","MidWest","13372.200000","472051.522459883986917","1653101.92","1242275.50","3.33","2.64"
"1993","Imports","Ojibway (Windsor)","MidWest","269047.100000","9497621.421188484543818","27494176.73","21434821.73","2.72","2.24"
"1993","Imports","Rainy River","East","19268.600000","680200.114092708798129","2097214.00","1641590.54","2.88","2.38"
"1993","Imports","Sarnia","MidWest","35432.900000","1250815.452219442075353","3276909.00","2508853.59","2.44","1.97"
"1993","Imports","St Clair","MidWest","413736.300000","14605289.354924342978480","29864684.67","23284094.78","1.90","1.56"
"1993","Imports","Total","Total","1102776.880000","38929084.603697281543466","103252174.10","80578347.84","2.47","2.04"
"1993","Imports","Windsor (Ojibway)","East","116844.300000","4124716.180266479901039","9512793.35","7524929.67","2.16","1.80"
"1994","Exports","Aden","MidWest","168590.100000","5951392.693548113798988","8405247.80","6176230.49","1.36","1.05"
"1994","Exports","Cardston","MidWest","310561.200000","10963109.082796288033192","23267380.53","17047946.85","1.98","1.53"
"1994","Exports","Chippawa","East","624512.000000","22045874.305983089427164","76430451.08","55998913.25","3.24","2.51"
"1994","Exports","Cornwall","East","476359.200000","16815937.960677552541741","62243724.60","45630700.72","3.46","2.68"
"1994","Exports","Emerson","MidWest","11028879.700000","389330061.875525984331609","1082262176.04","792839808.59","2.60","2.01"
"1994","Exports","Highwater","East","286547.400000","10115398.844387711876360","33588890.57","24608347.15","3.11","2.41"
"1994","Exports","Huntingdon","West","7909841.890000","279225027.040536800546423","657887125.66","482268172.35","2.14","1.65"
"1994","Exports","Iroquois","East","7128018.400000","251625905.822681856435028","805655877.27","590349550.52","3.00","2.32"
"1994","Exports","Kingsgate","West","20451336.190000","721951839.250715903506456","1609646414.20","1179160498.47","2.05","1.59"
"1994","Exports","Monchy","MidWest","14782140.200000","521823767.714022671689494","1063325379.00","778915792.42","1.89","1.46"
"1994","Exports","Napierville","East","286856.900000","10126324.492089760461779","42445543.00","30934221.11","3.92","3.01"
"1994","Exports","Niagara Falls","East","7407091.970000","261477471.279137413935995","884730602.84","648200361.02","3.16","2.44"
"1994","Exports","North Portal","MidWest","44699.100000","1577921.225197544182677","3457408.04","2546407.89","1.99","1.54"
"1994","Exports","Ojibway (Windsor)","MidWest","179829.500000","6348154.324509034222157","18824105.00","13798401.95","2.77","2.14"
"1994","Exports","Philipsburg","East","202706.000000","7155716.778970793396170","31446548.86","23098518.86","4.11","3.19"
